				Real	H_100_py	H_100_ex	H_90_py	H_90_ex	H_80_py	H_80_ex	H_70_py	H_70_ex	H_60_py	H_60_ex	H_50_py	H_50_ex	Promedio	Promedio_Ex
140	140	CameraDown	42.0.png	42.0	-84	-84.10	-82	-81.80	-83	-82.78	-83	-82.50	-80	-79.14	-80	-79.43	-82.00	-81.62
141	141	CameraDown	43.0.png	43.0	-84	-84.00	-82	-81.70	-83	-82.67	-83	-82.38	-79	-79.00	-80	-79.29	-81.83	-81.50
142	142	CameraDown	44.0.png	44.0	-84	-83.91	-82	-81.60	-83	-82.56	-83	-82.25	-79	-78.86	-80	-79.14	-81.83	-81.39
143	143	CameraDown	45.0.png	45.0	-84	-83.82	-82	-81.50	-83	-82.44	-83	-82.13	-79	-78.71	-79	-79.00	-81.67	-81.27
144	144	CameraDown	46.0.png	46.0	-84	-83.73	-82	-81.40	-83	-82.33	-82	-82.00	-79	-78.57	-79	-78.80	-81.50	-81.14
145	145	CameraDown	47.0.png	47.0	-84	-83.64	-82	-81.30	-83	-82.22	-82	-81.86	-79	-78.43	-79	-78.60	-81.50	-81.01
146	146	CameraDown	48.0.png	48.0	-84	-83.55	-82	-81.20	-83	-82.11	-82	-81.71	-79	-78.29	-79	-78.40	-81.50	-80.88
147	147	CameraDown	49.0.png	49.0	-84	-83.45	-82	-81.10	-82	-82.00	-82	-81.57	-79	-78.14	-79	-78.20	-81.33	-80.74
148	148	CameraDown	50.0.png	50.0	-84	-83.36	-81	-81.00	-82	-81.89	-82	-81.43	-78	-78.00	-78	-78.00	-80.83	-80.61
149	149	CameraDown	51.0.png	51.0	-84	-83.27	-81	-80.89	-82	-81.78	-82	-81.29	-78	-77.86	-78	-77.83	-80.83	-80.49
150	150	CameraDown	52.0.png	52.0	-84	-83.18	-81	-80.78	-82	-81.67	-82	-81.14	-78	-77.71	-78	-77.67	-80.83	-80.36
151	151	CameraDown	53.0.png	53.0	-84	-83.09	-81	-80.67	-82	-81.56	-81	-81.00	-78	-77.57	-78	-77.50	-80.67	-80.23
152	152	CameraDown	54.0.png	54.0	-83	-83.00	-81	-80.56	-82	-81.44	-81	-80.88	-78	-77.43	-78	-77.33	-80.50	-80.11
153	153	CameraDown	55.0.png	55.0	-83	-82.92	-81	-80.44	-82	-81.33	-81	-80.75	-78	-77.29	-78	-77.17	-80.50	-79.98
154	154	CameraDown	56.0.png	56.0	-83	-82.83	-81	-80.33	-82	-81.22	-81	-80.63	-78	-77.14	-77	-77.00	-80.33	-79.86
155	155	CameraDown	57.0.png	57.0	-83	-82.75	-81	-80.22	-82	-81.11	-81	-80.50	-77	-77.00	-77	-76.86	-80.17	-79.74
156	156	CameraDown	58.0.png	58.0	-83	-82.67	-81	-80.11	-81	-81.00	-81	-80.38	-77	-76.86	-77	-76.71	-80.00	-79.62
157	157	CameraDown	59.0.png	59.0	-83	-82.58	-80	-80.00	-81	-80.87	-81	-80.25	-77	-76.71	-77	-76.57	-79.83	-79.50
158	158	CameraDown	60.0.png	60.0	-83	-82.50	-80	-79.91	-81	-80.75	-81	-80.13	-77	-76.57	-77	-76.43	-79.83	-79.38
160	160	CameraDown	61.0.png	61.0	-83	-82.42	-80	-79.82	-81	-80.62	-80	-80.00	-77	-76.43	-77	-76.29	-79.67	-79.26
161	161	CameraDown	62.0.png	62.0	-83	-82.33	-80	-79.73	-81	-80.50	-80	-79.86	-77	-76.29	-77	-76.14	-79.67	-79.14
162	162	CameraDown	63.0.png	63.0	-83	-82.25	-80	-79.64	-81	-80.37	-80	-79.71	-77	-76.14	-76	-76.00	-79.50	-79.02
163	163	CameraDown	64.0.png	64.0	-83	-82.17	-80	-79.55	-81	-80.25	-80	-79.57	-76	-76.00	-76	-75.83	-79.33	-78.89
164	164	CameraDown	65.0.png	65.0	-83	-82.08	-80	-79.45	-81	-80.12	-80	-79.43	-76	-75.86	-76	-75.67	-79.33	-78.77
165	165	CameraDown	66.0.png	66.0	-82	-82.00	-80	-79.36	-80	-80.00	-80	-79.29	-76	-75.71	-76	-75.50	-79.00	-78.64
166	166	CameraDown	67.0.png	67.0	-82	-81.92	-80	-79.27	-80	-79.83	-80	-79.14	-76	-75.57	-76	-75.33	-79.00	-78.51
167	167	CameraDown	68.0.png	68.0	-82	-81.83	-80	-79.18	-80	-79.67	-79	-79.00	-76	-75.43	-76	-75.17	-78.83	-78.38
168	168	CameraDown	69.0.png	69.0	-82	-81.75	-80	-79.09	-80	-79.50	-79	-78.89	-76	-75.29	-75	-75.00	-78.67	-78.25
169	169	CameraDown	70.0.png	70.0	-82	-81.67	60	60.00	-80	-79.33	-79	-78.78	-76	-75.14	-75	-74.86	-55.33	-54.96
170	170	CameraDown	71.0.png	71.0	-82	-81.58	60	60.14	-80	-79.17	-79	-78.67	-75	-75.00	-75	-74.71	-55.17	-54.83
171	171	CameraDown	72.0.png	72.0	-82	-81.50	60	60.29	-79	-79.00	-79	-78.56	-75	-74.88	-75	-74.57	-55.00	-54.70
172	172	CameraDown	73.0.png	73.0	-82	-81.42	60	60.43	-79	-78.86	-79	-78.44	-75	-74.75	-75	-74.43	-55.00	-54.58
173	173	CameraDown	74.0.png	74.0	-82	-81.33	60	60.57	-79	-78.71	-79	-78.33	-75	-74.63	-75	-74.29	-55.00	-54.45
174	174	CameraDown	75.0.png	75.0	-82	-81.25	60	60.71	-79	-78.57	-79	-78.22	-75	-74.50	-75	-74.14	-55.00	-54.33
175	175	CameraDown	76.0.png	76.0	-82	-81.17	60	60.86	-79	-78.43	-79	-78.11	-75	-74.38	-74	-74.00	-54.83	-54.20
176	176	CameraDown	77.0.png	77.0	-82	-81.08	61	61.00	-79	-78.29	-78	-78.00	-75	-74.25	-74	-73.83	-54.50	-54.08
177	177	CameraDown	78.0.png	78.0	-81	-81.00	61	61.33	-79	-78.14	-78	-77.88	-75	-74.13	-74	-73.67	-54.33	-53.91
178	178	CameraDown	79.0.png	79.0	-81	-80.92	61	61.67	61	61.00	-78	-77.75	-74	-74.00	-74	-73.50	-30.83	-30.58
179	179	CameraDown	80.0.png	80.0	-81	-80.85	62	62.00	61	61.33	-78	-77.63	-74	-73.83	-74	-73.33	-30.67	-30.38
181	181	CameraDown	81.0.png	81.0	-81	-80.77	62	62.25	61	61.67	-78	-77.50	-74	-73.67	-74	-73.17	-30.67	-30.20
182	182	CameraDown	82.0.png	82.0	-81	-80.69	62	62.50	62	62.00	-78	-77.38	-74	-73.50	-73	-73.00	-30.33	-30.01
183	183	CameraDown	83.0.png	83.0	-81	-80.62	62	62.75	62	62.33	-78	-77.25	-74	-73.33	-73	-72.83	-30.33	-29.82
184	184	CameraDown	84.0.png	84.0	-81	-80.54	62	63.00	62	62.67	-78	-77.13	-74	-73.17	-73	-72.67	-30.33	-29.64
185	185	CameraDown	85.0.png	85.0	-81	-80.46	62	62.75	63	63.00	-77	-77.00	-73	-73.00	-73	-72.50	-29.83	-29.54
186	186	CameraDown	86.0.png	86.0	-81	-80.38	62	62.50	63	63.17	-77	-76.83	-73	-72.83	-73	-72.33	-29.83	-29.45
187	187	CameraDown	87.0.png	87.0	-81	-80.31	62	62.25	63	63.33	-77	-76.67	-73	-72.67	-73	-72.17	-29.83	-29.37
188	188	CameraDown	88.0.png	88.0	-81	-80.23	63	63.00	63	63.50	-77	-76.50	-73	-72.50	-72	-72.00	-29.50	-29.12
189	189	CameraDown	89.0.png	89.0	-81	-80.15	63	63.33	63	63.67	-77	-76.33	-73	-72.33	-72	-71.67	-29.50	-28.91
190	190	CameraDown	90.0.png	90.0	-81	-80.08	63	63.67	63	63.83	-77	-76.17	-73	-72.17	-72	-71.33	-29.50	-28.71
																		
																		
																		
